// thermometer calibration file for gonzo and waldorf

//format: chebychev polynomial coefficients
//begin-cheb [therm serial #]
//[log or lin - do you take the log of the R value first?]
//ZL
//ZU [see calibration documentation]
//poly order	coeff value
//end-cheb [therm serial #]

//format: lookup table
//begin-look [therm serial #]
//R(ascending)	T
//end-look [therm serial #]

begin-look ca04
2.12622800669
0	43.716007
1 	-38.340335
2 	7.430525
3	-0.680277
4 	0.079449
5 	0.004641
6 	-0.011364
7 	-0.001722
8 	0.002650
end-cheb x94606

begin-cheb x94606
log
1.48836241618
1.83638004081
0	179.302603
1	-127.161527
2	20.292915
3 	-2.667991
4 	0.588348
5 	-0.108230
6 	0.017460
7	-0.012402
8 	0.005652
end-cheb x94606

begin-cheb x30259
log
1.90067839803
5.42983945304
0	0.306537
1	-0.417234
2	0.236560
3	-0.123312
4	0.060424
5	-0.028970
6	0.013670
7	-0.006129
8	0.003023
9	-0.001450
10	0.000508
end-cheb x30259

begin-cheb x30259
log
1.52610187725
1.95131805977
0	2.617564
1	-2.151485
2	0.806843
3	-0.332164
4	0.148309
5	-0.074224
6	0.039556
7	-0.020263
8	0.013215
9	-0.005431
10	0.006181
11	-0.000288
12	0.002320
end-cheb x30259

begin-cheb x30314
log
1.63882458251
4.52259549293
0	0.309442
1	-0.420485
2	0.237002
3	-0.122250
4	0.058846
5	-0.027478
6	0.012429
7	-0.005304
8	0.002508
9	-0.001183
10	0.000305
end-cheb x30314

begin-cheb x30314
log
1.30241214646
1.68018202466
0	2.650204
1	-2.173489
2	0.791193
3	-0.313844
4	0.139629
5	-0.068609
6	0.035918
7	-0.020030
8	0.010514
9	-0.006993
10	0.004485
11	-0.000884
12	0.002028
end-cheb x30314


begin-cheb x46547
log
2.60034091264
4.73447978943
0	0.559218
1	-0.739303
2	0.39016
3	-0.182935
4	0.077855
5	-0.031065
6	0.012074
7	-0.004349
8	0.001794
9	-0.000659
10	0.000615
11	-0.000095
end-cheb x46547

begin-cheb x46547
log
2.09781444217
2.7449313084
0	6.275018
1	-7.025351
2	2.709475
3	-0.818995
4	0.198458
5	-0.035457
6	0.002878
7	0.001314
8	-0.000721
end-cheb x46547

begin-cheb x46547
log
1.76355068835
2.14835302917
0	44.935987
1	-39.73139
2	9.018058
3	-1.278804
4	0.148562
5	0.000717
6	-0.011356
end-cheb x46547

begin-cheb x46547
log
1.49063923424
1.81134646728
0	181.805226
1	-125.242239
2	20.874045
3	-2.818701
4	0.610395
5	-0.130922
6	0.023552
7	-0.007731
8	0.000939
9	0.003395
end-cheb x46547


begin-look x46547
31.2535	325
31.4952	320
31.7436	315
31.999	310
32.2617	305
32.5319	300
32.81	295
33.0962	290
33.391	285
33.6946	280
34.0073	275
34.1255	273.15
34.3297	270
34.6619	265
35.0046	260
35.358	255
35.7227	250
36.0991	245
36.4878	240
36.8893	235
37.3042	230
37.7332	225
38.1769	220
38.636	215
39.1114	210
39.6039	205
40.1144	200
40.6439	195
41.1935	190
41.7644	185
42.3578	180
42.9751	175
43.6178	170
44.2875	165
44.986	160
45.7152	155
46.4774	150
47.275	145
48.1106	140
48.9874	135
49.9089	130
50.879	125
51.9025	120
52.9848	115
54.1323	110
55.3522	105
56.6534	100
58.046	95
59.5418	90
61.1548	85
62.9041	80
63.8942	77.35
64.8127	75
66.908	70
69.225	65
71.8083	60
72.9285	58
74.1048	56
75.342	54
76.6457	52
78.0222	50
79.4786	48
81.0229	46
82.6644	44
84.4137	42
86.283	40
87.2671	39
88.2867	38
89.3442	37
90.4419	36
91.5823	35
92.7685	34
94.0036	33
95.2911	32
96.6349	31
98.0393	30
99.5093	29
101.05	28
102.669	27
104.372	26
106.168	25
108.065	24
110.077	23
112.214	22
114.493	21
116.933	20
118.22	19.5
119.555	19
120.943	18.5
122.387	18
123.891	17.5
125.461	17
127.101	16.5
128.818	16
130.618	15.5
132.505	15
134.485	14.5
136.572	14
138.781	13.5
141.123	13
143.61	12.5
146.257	12
149.087	11.5
152.121	11
155.386	10.5
158.914	10
162.744	9.5
166.925	9
171.512	8.5
176.579	8
182.215	7.5
188.539	7
195.698	6.5
203.894	6
207.52	5.8
211.377	5.6
215.488	5.4
219.882	5.2
224.592	5
229.657	4.8
235.122	4.6
241.041	4.4
247.48	4.2
254.514	4
258.283	3.9
262.239	3.8
266.395	3.7
270.77	3.6
275.383	3.5
280.254	3.4
285.408	3.3
290.871	3.2
296.676	3.1
302.857	3
309.455	2.9
316.515	2.8
324.091	2.7
332.245	2.6
341.049	2.5
350.589	2.4
360.962	2.3
372.289	2.2
384.709	2.1
398.401	2
413.574	1.9
430.495	1.8
449.502	1.7
471.084	1.6
495.85	1.5
524.566	1.4
558.206	1.3
598.16	1.2
621.085	1.15
646.382	1.1
674.445	1.05
705.749	1
740.899	0.95
780.648	0.9
825.984	0.85
878.172	0.8
938.927	0.75
1010.56	0.7
1096.3	0.65
1200.77	0.6
1330.81	0.55
1496.83	0.5
1576.73	0.48
1666.36	0.46
1767.54	0.44
1882.53	0.42
2014.09	0.4
2165.89	0.38
2342.59	0.36
2550.37	0.34
2797.65	0.32
3096.03	0.3
3269.34	0.29
3462.2	0.28
3678.09	0.27
3921.2	0.26
4196.67	0.25
4511.37	0.24
4873.9	0.23
5295.09	0.22
5789.51	0.21
6375.99	0.2
7078.71	0.19
7929.01	0.18
8968.55	0.17
10253.9	0.16
11859.5	0.15
13886.8	0.14
16548.6	0.13
20214.4	0.12
25258.5	0.11
32339.2	0.1
end-look x46547

begin-cheb p14271
lin
13.23336506254
122.16520803259
0	193.508057
1	134.889942
2	1.903323
3	-0.072535
4	-0.077244
5	0.082201
6	-0.061276
7	0.030214
8	-0.012453
9	0.006426
10	-0.002344
11	0.001182
end-cheb p14271

begin-look p14271
17.2189	70
19.3251	75
20.3211	77.35
21.4474	80
23.5771	85
25.7084	90
27.8374	95
29.9616	100
32.0794	105
34.1902	110
36.2935	115
38.3892	120
40.4775	125
42.5584	130
44.6323	135
46.6995	140
48.7601	145
50.8146	150
52.8633	155
54.9064	160
56.9443	165
58.9772	170
61.0054	175
63.0291	180
65.0485	185
67.0638	190
69.0751	195
71.0825	200
73.0861	205
75.086	210
77.0822	215
79.0748	220
81.0638	225
83.0493	230
85.0312	235
87.0096	240
88.9847	245
90.9563	250
92.9245	255
94.8894	260
96.8511	265
98.8095	270
100.042	273.15
100.765	275
102.717	280
104.666	285
106.612	290
108.556	295
110.496	300
112.435	305
114.37	310
116.304	315
118.235	320
120.164	325
end-look p14271

begin-cheb 30256
log
1.83602012982
5.26219945829
0	.307604
1	-.417868
2	0.236375
3	-.122805
4	.060044
5	-.028702
6	.013481
7	-.006052
8	.002983
9	-.001417
10	.000459
end-cheb 30256

begin-cheb 30256
log
1.47027130607
1.88449368947
0	2.615703
1	-2.149011
2	0.805563
3	-0.333178
4	0.149202
5	-0.075209
6	0.040389
7	-0.020748
8	0.013831
9	-0.005482
10	0.006714
11	-0.000116
12	0.002548
end-cheb 30256

begin-look 30256
29.5305	6.21802
30.2105	5.51677
30.8985	5.01420
30.9191	5
31.257	4.8
31.6378	4.6
32.067	4.4
32.5506	4.2
33.0957	4
33.3943	3.9
33.7122	3.8
34.0511	3.7
